CODUSU,NRO_HOGAR,PONDERA,Parentesco,Sexo,Edad,Estado_Civil,Cobertura_Medica,Sabe_leer,Lugar_Nac,NIVEL_ED,Trabajo,CAT_OCUP,CAT_INAC,Y
311660,1,1697,3,2,56,5,4,1,3,4,1,3,0,2800
311660,1,1697,5,2,15,5,4,1,1,3,3,0,3,2800
186103,1,1560,1,1,56,3,1,1,3,2,1,3,0,4000
229146,1,1473,1,2,69,4,12,1,1,6,1,1,0,4100
200125,1,1475,1,1,63,2,1,1,2,6,2,2,0,4890
200125,1,1475,2,2,67,2,1,1,1,6,3,0,1,4890
200125,1,1475,3,1,32,5,1,1,1,6,1,3,0,4890
226317,2,1379,1,2,24,1,4,1,4,2,1,3,0,1200
207915,1,1269,1,2,25,5,4,1,5,6,1,3,0,5000
203480,1,1288,1,1,52,2,1,1,3,2,1,3,0,5500
203480,1,1288,2,2,54,2,1,1,3,2,1,3,0,5500
203480,1,1288,3,2,24,5,1,1,1,5,3,0,3,5500
203480,1,1288,3,2,22,5,1,1,1,5,3,0,3,5500
251983,1,1050,1,1,33,2,1,1,1,6,1,3,0,9000
251983,1,1050,2,2,32,2,1,1,2,6,1,2,0,9000
252986,1,1451,1,1,78,1,1,1,3,6,3,0,1,5000
252986,1,1451,2,2,63,1,1,1,3,6,1,3,0,5000
302313,1,1388,1,1,29,1,1,1,1,6,1,3,0,9500
302313,1,1388,2,2,29,1,1,1,1,6,1,3,0,9500
304996,1,1221,1,2,49,5,1,1,1,6,1,1,0,4000
303439,1,1446,1,2,77,5,1,1,1,4,3,0,1,1800
304623,1,1279,1,2,26,5,1,1,3,5,3,0,3,4500
304623,1,1279,9,2,23,5,1,1,2,5,1,3,0,4500
306589,1,1388,1,2,24,5,1,1,3,6,3,0,4,3000
306589,1,1388,8,1,27,5,1,1,3,5,3,0,3,3000
309792,1,1336,1,1,74,2,2,1,3,6,1,1,0,25450
309792,1,1336,2,2,69,2,2,1,1,6,1,3,0,25450
309792,1,1336,3,1,31,5,2,1,1,6,1,3,0,25450
308666,1,1328,1,1,26,5,1,1,1,6,1,3,0,6800
311888,1,1207,1,1,38,5,1,1,1,6,1,2,0,5000
310291,1,1426,1,1,69,2,1,1,1,6,3,0,1,6045
310291,1,1426,2,2,72,2,1,1,1,4,3,0,1,6045
309238,1,1390,1,1,61,5,1,1,1,5,1,2,0,2000
312634,1,1405,1,2,83,4,1,1,3,4,3,0,1,4793
312634,1,1405,3,1,51,5,1,1,3,1,3,0,1,4793
261498,1,1514,1,2,40,2,2,1,1,6,1,2,0,6000
261498,1,1514,2,1,42,2,2,1,1,5,1,3,0,6000
261498,1,1514,3,1,8,5,2,1,1,1,4,0,3,6000
261498,1,1514,3,1,4,5,2,2,1,7,4,0,5,6000
261498,1,1514,3,2,1,5,2,3,1,7,4,0,5,6000
261498,4,1514,1,2,19,5,4,1,4,4,1,3,0,1600
272197,1,1350,1,1,28,5,2,1,2,5,1,2,0,2500
273428,1,1545,1,1,46,2,1,1,1,6,1,2,0,3300
273428,1,1545,2,2,44,2,1,1,1,6,1,3,0,3300
273428,1,1545,3,1,16,5,1,1,1,3,3,0,3,3300
273428,1,1545,3,1,14,5,1,1,1,3,3,0,3,3300
273428,1,1545,3,2,12,5,1,1,1,1,3,0,3,3300
273428,1,1545,3,2,6,5,1,1,1,1,4,0,3,3300
273428,2,1545,1,1,24,5,1,1,4,4,1,3,0,1580
192919,1,1407,1,2,54,1,2,1,2,4,3,0,2,6200
192919,1,1407,2,1,58,1,2,1,1,6,1,2,0,6200
236909,2,1250,1,2,26,5,1,1,2,6,1,3,0,4700
237037,1,1252,1,1,34,1,1,1,2,5,1,3,0,4350
237037,1,1252,2,2,28,1,1,1,2,6,1,2,0,4350
303995,1,1330,1,1,40,2,2,1,1,6,1,3,0,16000
303995,1,1330,2,2,42,2,2,1,3,6,1,3,0,16000
303995,1,1330,3,1,6,5,2,1,1,1,4,0,3,16000
303995,1,1330,3,2,3,5,2,2,1,7,4,0,5,16000
300885,1,1277,1,2,58,3,2,1,1,5,1,3,0,5000
305549,1,1298,1,2,72,3,2,1,1,6,1,3,0,2800
302968,1,1331,1,1,52,2,1,1,3,2,1,3,0,7812
302968,1,1331,2,2,42,2,1,1,3,2,1,3,0,7812
302968,1,1331,3,2,23,5,1,1,1,6,1,3,0,7812
302968,1,1331,3,1,9,5,1,1,1,1,4,0,3,7812
308427,1,1283,1,2,67,3,1,1,1,5,3,0,1,2890
311110,1,1134,1,2,20,5,2,1,1,5,3,0,3,2000
311110,1,1134,8,2,18,5,2,1,1,5,3,0,3,2000
310297,1,1283,1,2,91,4,1,1,5,4,3,0,1,2000
308853,1,1180,1,1,33,5,2,1,2,6,1,3,0,3800
223111,1,1290,1,2,97,5,12,1,1,6,3,0,1,15000
223111,1,1290,9,1,51,5,1,1,1,6,1,3,0,15000
223111,1,1290,10,1,30,5,1,1,3,5,1,3,0,15000
223111,2,1290,1,2,38,2,1,1,5,4,1,3,0,2700
203340,1,1505,1,2,84,5,2,1,5,1,3,0,1,1600
215791,1,1377,1,2,60,5,1,1,1,6,1,3,0,6500
215791,1,1377,9,1,31,5,1,1,1,6,1,3,0,6500
203290,1,1384,1,1,30,5,2,1,2,6,1,3,0,8000
202731,1,1384,1,1,44,5,1,1,2,6,1,2,0,4000
213686,1,1411,1,1,48,2,1,1,1,3,1,1,0,13700
213686,1,1411,2,2,43,2,1,1,1,6,1,3,0,13700
213686,1,1411,3,1,6,5,1,1,1,1,4,0,3,13700
239476,1,1252,1,2,20,5,2,1,2,5,2,0,0,5200
239476,1,1252,8,2,18,5,2,1,2,5,3,0,3,5200
239476,1,1252,10,2,18,5,2,1,2,5,3,0,3,5200
228235,1,1409,1,2,28,5,1,1,3,6,1,3,0,2900
180196,1,1319,1,2,86,5,2,1,1,4,3,0,1,2910
247783,1,1260,1,2,60,3,1,1,1,4,2,0,0,5350
247783,1,1260,3,1,23,5,1,1,1,5,1,3,0,5350
247783,1,1260,3,2,19,5,3,1,1,5,2,3,0,5350
128945,1,1335,1,1,26,5,1,1,1,5,1,3,0,3700
278990,1,1298,1,2,61,3,2,1,1,6,1,3,0,16500
305195,1,623,1,1,47,5,1,1,5,6,1,3,0,2500
302183,1,678,1,2,75,4,1,1,1,4,3,0,1,1800
